doi,year
10.1016/j.bioorg.2023.107078,2024.0
10.1016/j.bioorg.2024.107204,2024.0
10.1016/j.bioorg.2024.107319,2024.0
10.1016/j.bioorg.2024.107427,2024.0
10.1016/j.bioorg.2024.107477,2024.0
10.1016/j.bioorg.2024.107585,2024.0
10.1016/j.bioorg.2024.107590,2024.0
10.1016/j.bioorg.2024.107613,2024.0
10.1016/j.bioorg.2024.107801,2024.0
10.1016/j.bioorg.2024.107876,2024.0
10.1016/j.bioorg.2024.107887,2024.0
10.1016/j.bioorg.2024.107943,2024.0
10.1016/j.biopha.2023.114871,2023.0
10.1016/j.biopha.2023.115667,2023.0
10.1016/j.biopha.2024.116167,2024.0
10.1016/j.biopha.2024.116972,2024.0
10.1016/j.bmc.2011.03.057,2011.0
10.1016/j.bmc.2011.09.041,2011.0
10.1016/j.bmc.2019.02.048,2019.0
10.1016/j.bmc.2019.115181,2020.0
10.1016/j.bmc.2019.115228,2020.0
10.1016/j.bmc.2020.115326,2020.0
10.1016/j.bmc.2022.116707,2022.0
10.1016/j.bmc.2022.116908,2022.0
10.1016/j.bmc.2022.116912,2022.0
10.1016/j.bmc.2022.117115,2023.0
10.1016/j.bmc.2022.117134,2023.0
10.1016/j.bmc.2023.117153,2023.0
10.1016/j.bmc.2023.117237,2023.0
10.1016/j.bmc.2023.117259,2023.0
10.1016/j.bmc.2023.117293,2023.0
10.1016/j.bmc.2023.117352,2023.0
10.1016/j.bmc.2023.117526,2023.0
10.1016/j.bmc.2023.117537,2023.0
10.1016/j.bmc.2024.117661,2024.0
10.1016/j.bmc.2024.117673,2024.0
10.1016/j.bmc.2024.117867,2024.0
10.1016/j.bmc.2024.117896,2024.0
10.1016/j.bmc.2024.117982,2024.0
10.1016/j.bmcl.2008.07.114,2008.0
10.1016/j.bmcl.2011.11.086,2012.0
10.1016/j.bmcl.2012.04.134,2012.0
10.1016/j.bmcl.2016.09.041,2016.0
10.1016/j.bmcl.2018.05.057,2018.0
10.1016/j.bmcl.2019.03.035,2019.0
10.1016/j.bmcl.2019.126877,2020.0
10.1016/j.bmcl.2020.127106,2020.0
10.1016/j.bmcl.2020.127167,2020.0
10.1016/j.bmcl.2021.128448,2022.0
10.1016/j.bmcl.2022.128584,2022.0
10.1016/j.bmcl.2022.128636,2022.0
10.1016/j.bmcl.2022.128870,2022.0
10.1016/j.bmcl.2022.128982,2022.0
10.1016/j.bmcl.2022.129041,2022.0
10.1016/j.bmcl.2022.129083,2023.0
10.1016/j.bmcl.2023.129275,2023.0
10.1016/j.bmcl.2023.129393,2023.0
10.1016/j.bmcl.2023.129449,2023.0
10.1016/j.bmcl.2024.129676,2024.0
10.1016/j.bmcl.2024.129677,2024.0
10.1016/j.bmcl.2024.129680,2024.0
10.1016/j.bmcl.2024.129778,2024.0
10.1016/j.bmcl.2024.129779,2024.0
10.1016/j.bmcl.2024.129780,2024.0
10.1016/j.bmcl.2024.129838,2024.0
10.1016/j.bmcl.2024.129861,2024.0
10.1016/j.bmcl.2024.129880,2024.0
10.1016/j.bmcl.2024.129968,2024.0
10.1016/j.canlet.2024.216933,2024.0
10.1016/j.canlet.2024.217112,2024.0
10.1016/j.cell.2020.10.038,2020.0
10.1016/j.cellin.2022.100030,2022.0
10.1016/j.chembiol.2015.05.009,2015.0
10.1016/j.chembiol.2017.09.009,2018.0
10.1016/j.chembiol.2017.09.010,2018.0
10.1016/j.chembiol.2017.10.005,2018.0
10.1016/j.chembiol.2018.11.006,2019.0
10.1016/j.chembiol.2019.10.013,2020.0
10.1016/j.chembiol.2019.11.004,2020.0
10.1016/j.chembiol.2019.11.006,2020.0
10.1016/j.chembiol.2019.11.014,2020.0
10.1016/j.chembiol.2019.12.006,2020.0
10.1016/j.chembiol.2020.04.003,2020.0
10.1016/j.chembiol.2020.04.008,2020.0
10.1016/j.chembiol.2020.08.010,2020.0
10.1016/j.chembiol.2020.12.004,2021.0
10.1016/j.chembiol.2021.04.018,2021.0
10.1016/j.chembiol.2022.08.003,2022.0
10.1016/j.chembiol.2022.08.004,2022.0
10.1016/j.chembiol.2022.09.004,2022.0
10.1016/j.chembiol.2022.10.007,2022.0
10.1016/j.chembiol.2023.01.004,2023.0
10.1016/j.chembiol.2023.01.007,2023.0
10.1016/j.chembiol.2023.07.010,2023.0
10.1016/j.chembiol.2023.09.014,2024.0
10.1016/j.chembiol.2023.10.023,2024.0
10.1016/j.chembiol.2024.01.003,2024.0
10.1016/j.chembiol.2024.05.007,2024.0
10.1016/j.chembiol.2024.09.004,2024.0
10.1016/j.chembiol.2024.10.008,2025.0
10.1016/j.crchbi.2022.100029,2022.0
10.1016/j.ebiom.2019.10.013,2019.0
10.1016/j.ebiom.2023.104500,2023.0
10.1016/j.ejmech.2018.03.066,2018.0
10.1016/j.ejmech.2018.03.071,2018.0
10.1016/j.ejmech.2019.01.023,2019.0
10.1016/j.ejmech.2019.01.080,2019.0
10.1016/j.ejmech.2019.05.046,2019.0
10.1016/j.ejmech.2019.111952,2020.0
10.1016/j.ejmech.2019.112028,2020.0
10.1016/j.ejmech.2020.112061,2020.0
10.1016/j.ejmech.2020.112186,2020.0
10.1016/j.ejmech.2020.112190,2020.0
10.1016/j.ejmech.2020.112199,2020.0
10.1016/j.ejmech.2020.112377,2020.0
10.1016/j.ejmech.2020.112397,2020.0
10.1016/j.ejmech.2020.112451,2020.0
10.1016/j.ejmech.2020.112505,2020.0
10.1016/j.ejmech.2020.112654,2020.0
10.1016/j.ejmech.2020.112781,2020.0
10.1016/j.ejmech.2020.112800,2020.0
10.1016/j.ejmech.2020.112903,2021.0
10.1016/j.ejmech.2020.112949,2021.0
10.1016/j.ejmech.2020.113150,2021.0
10.1016/j.ejmech.2021.113307,2021.0
10.1016/j.ejmech.2021.113328,2021.0
10.1016/j.ejmech.2021.113335,2021.0
10.1016/j.ejmech.2021.113341,2021.0
10.1016/j.ejmech.2021.113425,2021.0
10.1016/j.ejmech.2021.113435,2021.0
10.1016/j.ejmech.2021.113645,2021.0
10.1016/j.ejmech.2021.113820,2021.0
10.1016/j.ejmech.2021.113849,2021.0
10.1016/j.ejmech.2021.113850,2021.0
10.1016/j.ejmech.2021.113889,2021.0
